id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
873655282217473344,"Blueground | S End, rooftop & gym, nr dining",107434423,Blueground,,South End,42.3452369,-71.0639399,Entire home/apt,327,32,0,,,369,19,0,
873658297449445896,"Blueground | South Boston, w/d, nr carson Bbeach",107434423,Blueground,,South Boston,42.3311374,-71.0469214,Entire home/apt,242,32,1,2023-09-01,0.05,369,262,0,
873911041827061745,South End Stunner/walk to all the neighborhoods!,2881238,Jacquelyn,,South End,42.34268619963691,-71.07805605844173,Entire home/apt,1093,3,22,2025-05-30,0.97,1,324,10,STR-418362
874157788088023652,Ideal for long stays | Chic downtown glass suite,416027128,Naveen,,Brighton,42.3469948,-71.1452694,Entire home/apt,190,1,53,2025-06-04,2.06,38,100,44,STR-569345
874694577253994413,Quiet city home minutes to downtown,131944063,Kathleen,,Dorchester,42.3174128778811,-71.05315949767828,Entire home/apt,,2,47,2024-10-06,1.87,1,0,8,STR-524854
875616931050269215,Private Double Bedroom in Beacon Hill (Bedroom #2),80104460,Min Seok,,Beacon Hill,42.360177705013044,-71.06564076074733,Private room,162,2,114,2025-06-18,4.49,3,323,46,STR-590834
875621630800624958,Private Bedroom in Beacon Hill (Bedroom #1),80104460,Min Seok,,Beacon Hill,42.360031641533844,-71.06746991939835,Private room,77,2,148,2025-06-10,5.77,3,249,64,STR-519747
875636434000056617,Ottoman Cot in Beacon Hill,80104460,Min Seok,,Beacon Hill,42.3581736763962,-71.06559134916827,Shared room,69,2,105,2025-06-09,4.10,3,347,46,STR-590834
875929241345531100,Walk! Location! - First floor! - Steps from the T!,47584294,Jessy And Diego,,Fenway,42.35039487296866,-71.09370635747206,Entire home/apt,158,2,73,2025-06-13,2.88,20,176,31,STR-524856
876342166686729329,Authentic Brownstone Boston Studio!,409684302,Justin And Mandy,,South End,42.34083,-71.0799,Entire home/apt,176,1,6,2025-05-11,0.34,15,348,4,LB-434068
876933034869554907,Luxury 2Br 2Ba bathrooms South End Boston Balcony,163848078,Adam,,South End,42.34594,-71.06483,Entire home/apt,804,29,11,2025-01-20,0.44,95,365,2,Exempt: This listing is a unit used for furnished institutional or business stays
